LEFT,RIGHT,DIRECTION
16414,6026.25,Left
16677.8125,7567.6875,Left
19576,7611.8125,Left
20825.5625,9131.75,Left
20380.4375,4590,Left
19970.3125,7199.25,Left
20849.5,8040.0625,Left
18507.125,8745.875,Left
15649.4375,8218.375,Left
15189.125,7451.25,Left
12212.3125,9109.5,Left
19076.9375,5481.25,Left
19106.25,7844.9375,Left
19712,7283.75,Left
21025.4375,8408,Left
20085.8125,5703.5625,Left
20963.25,4964,Left
19307.3125,7546.125,Left
19270.0625,6393,Left
21011.25,9197.25,Left
22387.6875,7583,Left
21611.0625,5474.5625,Left
16340.5,6788,Left
18386.0625,7597.3125,Left
23562.4375,9091.5,Left
6624.75,21370.1875,Right
7208,17089.8125,Right
5471.875,17868.5,Right
4159.5625,21659.1875,Right
5742.125,22959.5,Right
5260.5625,21345.25,Right
4096.1875,22746.25,Right
5173.25,18525.125,Right
6556.625,17652.5625,Right
4842.75,19662.75,Right
4732.1875,20418.875,Right
9134.3125,14211.3125,Right
8334.75,14104.5625,Right
8011.3125,18557.25,Right
7248.25,16950.375,Right
5817.3125,17986,Right
7829.75,20810.5625,Right
6559.5,20183.8125,Right
7392.5,21523.9375,Right
6241.8125,19306.25,Right
6874.3125,18758.375,Right
8627,17873,Right
7606.0625,20168.0625,Right
4699.0625,21574.0625,Right
6864.125,16697.375,Right
8900.3125,14639.75,Right
8310.6875,15788.25,Right
8558.6875,17207.625,Right
5757.5625,18382,Right
6669.0625,17224.6875,Right
7486.875,19809.5625,Right
6887.625,18678.8125,Right
8743.6875,19836.375,Right
8603.8125,19807.625,Right
5908.3125,17958.4375,Right
7826.9375,17905.6875,Right
7278.625,17787.25,Right
5395.4375,20125.375,Right
8367.5,16158.4375,Right
4301.25,18609.75,Right
6125.5625,19250.9375,Right
8866.125,18493.125,Right
8052.375,20201.875,Right
5509.8125,20123.8125,Right
6228.6875,16746.25,Right
8497.375,12475.75,Right
6275.75,17394.1875,Right
5295.25,19220.9375,Right
4496.875,20170,Right
7185.0625,18596.4375,Right
6382.875,20035.375,Right
5984.375,18910.3125,Right
8412.875,16644.125,Right
5191.375,16847.6875,Right
4986.5625,17216.1875,Right
7553.5625,13337.5,Right
9021.9375,14927.4375,Right
5555.8125,19191.0625,Right
9581,19969.1875,Right
6683,16048.125,Right
4946.375,16025.0625,Right
5818.9375,17915.8125,Right
6457.75,19112.1875,Right
4732.125,21526,Right
4310.5625,21287.1875,Right
3638.9375,23011.25,Right
5952.8125,22291.4375,Right
7041.75,24197.5625,Right
7324.875,23209.25,Right
5721.25,22155.3125,Right
5506.5625,22091.9375,Right
7371.6875,20863.3125,Right
4739.25,21329.4375,Right
6054.5625,17639.625,Right
9402.875,18258.125,Right
4797.3125,22538.5625,Right
3754.1875,23467.1875,Right
4007,23386.1875,Right
2773.6875,24172.6875,Right
5380.5,23625.875,Right
9214.875,24147.3125,Right
4036.375,24587.875,Right
4162.375,22929.6875,Right
3333.4375,24390.25,Right
3053,23949.5,Right
5190.1875,24379.5,Right
7671.5625,23327.375,Right
5056.875,24576.0625,Right
3892.125,24582.8125,Right
4144.6875,24703.1875,Right
4261.125,24627,Right
7258.5625,24675.9375,Right
9094.875,24958.0625,Right
8808,24268.75,Right
5783.875,23867.8125,Right
4430.375,23470.375,Right
6992.5,23652.125,Right
5916.375,25672.0625,Right
4870.5,24334.3125,Right
3523.5,23250.25,Right
5163.8125,23275.9375,Right
6070,22183.4375,Right
6099.8125,24888.25,Right
4244,25317.5,Right
4868.75,24143.1875,Right
4887.4375,19491,Right
5198.6875,24087.25,Right
6110.75,25092.8125,Right
3696.125,25821.4375,Right
4317.625,20686.5625,Right
6885.125,23408,Right
6472.625,23099,Right
5283.25,24275.25,Right
4988.4375,22893.25,Right
3674,21101.6875,Right
4652.4375,21932.875,Right
5942.9375,18808.4375,Right
5686.3125,20834.875,Right
8121.125,21748.5,Right
4780.625,20104.1875,Right
5284.3125,19691.625,Right
6832.875,19714.6875,Right
4715.625,21257.0625,Right
4203.625,17985.75,Right
4627.5,19882.125,Right
7392.6875,18757.1875,Right
8870.6875,18065.3125,Right
5175.5,18160.9375,Right
6895.0625,14350.125,Right
9786.0625,19121.5625,Right
7499.1875,18969.375,Right
7997.6875,16645.125,Right
6544.3125,13862.875,Right
5811.875,17109.8125,Right
7758.5,17782,Right
5430.375,19048.0625,Right
6573,15826.375,Right
8051.0625,17585.3125,Right
4813.25,19021.1875,Right
7119.1875,14242.875,Right
7906.5,16024.25,Right
4681.375,20343.75,Right
5710.1875,18234.5625,Right
